date,open,high,low,close,volume
2018-01-02,121.63,124.3,119.99,124.05,2340519
2018-01-03,125.15,126.29,122.41,124.95,2519025
2018-01-04,125.82,125.82,122.13,122.69,2094988
2018-01-05,123.91,123.91,121.5821,122.8,2733214
2018-01-08,122.64,122.8,118.0,119.7,3201102
2018-01-09,120.5,122.11,120.0335,121.8,1776086
2018-01-10,121.7,121.92,120.13,121.46,1724439
2018-01-11,121.5,122.96,120.22,122.48,1571728
2018-01-12,123.0,123.63,121.59,122.71,1228288
2018-01-16,123.0,126.06,123.0,124.48,4154584
2018-01-17,125.54,125.54,121.6,122.12,2074949
2018-01-18,122.43,122.43,120.04,120.35,1477282
2018-01-19,120.6,121.725,120.38,121.05,1799064
2018-01-22,121.24,124.03,120.59,123.67,1430817
2018-01-23,123.43,126.16,122.66,125.59,1658218
2018-01-24,126.04,129.15,123.875,125.01,1525946
2018-01-25,125.88,126.455,124.04,124.95,954565
2018-01-26,125.57,128.27,125.4,128.09,1510118
2018-01-29,127.33,128.44,126.25,126.79,1259876
2018-01-30,126.19,127.5,122.32,122.36,1700188
2018-01-31,122.34,122.73,119.19,119.32,2088405
2018-02-01,118.45,119.535,116.8901,118.09,2706959
2018-02-02,117.42,117.98,115.62,116.15,1389226
2018-02-05,117.26,118.615,112.7,112.72,2050656
2018-02-06,110.65,115.15,109.61,114.91,2094313
2018-02-07,113.95,119.12,113.59,117.15,2695826
2018-02-08,116.31,118.84,108.27,108.47,3744416
2018-02-09,109.06,110.99,104.951,108.6,3039212
2018-02-12,109.56,115.98,109.52,115.43,2659627
2018-02-13,114.28,115.36,112.56,113.97,2426517
2018-02-14,113.17,123.8,112.59,123.2,3156776
2018-02-15,123.07,125.3,120.66,122.71,2595683
2018-02-16,122.57,123.17,119.24,120.47,3898513
2018-02-20,119.46,122.11,118.47,118.85,2022817
2018-02-21,119.43,120.12,117.04,117.1,1555206
2018-02-22,117.74,118.26,114.09,114.59,1812338
2018-02-23,115.78,118.99,114.52,118.93,1815156
2018-02-26,119.98,121.37,119.12,121.33,1261786
2018-02-27,120.72,122.31,118.34,118.34,1786392
2018-02-28,118.61,120.725,117.43,117.45,1418988
2018-03-01,116.06,117.15,114.56,115.11,1957376
2018-03-02,114.71,118.35,113.88,117.92,1343726
2018-03-05,116.76,120.53,116.76,119.5,1341944
2018-03-06,119.78,120.48,117.29,118.13,1134327
2018-03-07,117.64,118.63,116.39,118.38,1468579
2018-03-08,119.3,120.67,117.79,120.01,1258283
2018-03-09,121.39,126.06,121.27,125.68,2663872
2018-03-12,125.51,127.65,125.1,127.08,1209710
2018-03-13,127.26,127.8209,119.9,121.08,2102545
2018-03-14,122.08,123.1999,120.42,122.68,1305723
2018-03-15,137.09,137.88,124.31,126.83,11142063
2018-03-16,128.07,130.91,126.23,126.75,4394069
2018-03-19,125.38,125.99,120.52,122.03,2135733
2018-03-20,122.88,123.09,119.19,120.22,2015738
2018-03-21,120.14,120.46,117.54,117.89,2592794
2018-03-22,117.07,118.0,114.09,114.23,1901427
2018-03-23,114.16,114.79,110.37,110.79,2822307
2018-03-26,112.08,112.43,107.73,111.55,2944210
2018-03-27,112.41,112.59,107.51,108.33,2620617
2018-03-28,109.2,111.95,108.08,110.61,2456018
2018-03-29,110.92,113.21,108.61,111.46,1802001
2018-04-02,110.41,111.16,106.85,108.64,1948532
2018-04-03,108.93,109.0806,106.22,107.48,1313216
2018-04-04,106.15,112.006,106.1,111.51,1552059
2018-04-05,111.93,112.41,108.49,109.31,1690185
2018-04-06,108.42,110.74,107.73,109.24,2398695
2018-04-09,109.93,112.08,108.76,110.63,2116198
2018-04-10,112.13,113.7518,110.385,113.46,1613894
2018-04-11,112.47,113.54,110.465,110.79,1627155
2018-04-12,111.61,113.1,111.22,111.29,1315026
2018-04-13,112.33,113.0,110.86,111.38,1220905
2018-04-16,112.39,112.87,109.29,109.48,1598881
2018-04-17,110.0,114.63,109.5,113.28,1939108
2018-04-18,113.61,113.7,112.28,112.96,1262184
2018-04-19,112.4,113.27,111.25,111.74,1024202
2018-04-20,111.85,112.035,102.1,107.78,5457250
2018-04-23,108.51,110.4563,107.43,107.83,1485127
2018-04-24,108.68,109.41,106.15,106.51,1682502
2018-04-25,106.22,107.48,105.45,106.04,2237907
2018-04-26,113.0,123.256,109.46,121.42,6646709
2018-04-27,120.64,121.75,117.7,121.37,2789605
2018-04-30,122.03,122.63,117.26,117.63,2308873
2018-05-01,116.91,119.1,116.56,118.62,1433900
2018-05-02,117.49,118.47,113.86,114.24,2448467
2018-05-03,114.45,116.189,111.84,113.86,1859292
2018-05-04,113.77,117.61,112.7422,116.81,2542513
2018-05-07,116.96,118.7,116.76,118.41,1362582
2018-05-08,119.81,119.81,112.51,114.95,3156107
2018-05-09,115.01,117.78,114.0,116.77,1242195
2018-05-10,116.97,117.47,115.73,116.13,1027888
2018-05-11,116.19,119.98,116.105,119.66,1397457
2018-05-14,119.71,123.48,119.66,122.85,2052817
2018-05-15,121.51,122.98,120.58,121.55,1649314
2018-05-16,121.68,122.34,120.1568,121.0,1031290
2018-05-17,120.86,121.98,119.69,121.15,755982
