date,open,high,low,close,volume
2018-01-02,50.16,50.16,49.4105,49.82,2150848
2018-01-03,50.75,51.21,50.25,50.62,3124287
2018-01-04,51.01,52.185,51.01,51.3,2819667
2018-01-05,51.46,51.72,50.96,51.47,2309077
2018-01-08,51.48,51.945,51.38,51.77,1579536
2018-01-09,51.95,52.795,51.79,52.47,1786438
2018-01-10,52.57,53.65,52.52,52.69,2061178
2018-01-11,53.0,53.145,52.28,52.96,1519676
2018-01-12,53.35,54.0,53.105,53.94,1672483
2018-01-16,54.41,54.97,53.38,53.67,1817853
2018-01-17,53.96,54.23,53.28,54.0,1439938
2018-01-18,54.15,54.19,53.59,53.65,2552091
2018-01-19,53.76,54.29,53.65,54.28,2206964
2018-01-22,54.15,55.01,53.95,54.98,1690052
2018-01-23,55.09,56.0,54.53,54.96,2984347
2018-01-24,55.32,55.51,54.26,55.19,2612700
2018-01-25,54.88,55.355,53.655,54.21,4274775
2018-01-26,52.3,53.6,51.51,53.49,4442137
2018-01-29,53.57,54.07,52.51,52.62,3510681
2018-01-30,52.55,53.0,52.17,52.35,2181218
2018-01-31,52.5,53.19,52.27,52.7,2455956
2018-02-01,52.38,54.16,52.36,54.1,2991179
2018-02-02,53.85,54.31,52.385,52.57,2166744
2018-02-05,51.8,53.29,49.87,50.35,3644048
2018-02-06,48.86,52.67,48.25,52.28,6042799
2018-02-07,51.98,52.64,51.42,51.55,2645886
2018-02-08,51.65,51.66,48.47,48.48,3808183
2018-02-09,49.17,49.95,47.36,49.47,4915153
2018-02-12,49.93,50.77,49.39,50.2,2764104
2018-02-13,49.97,50.21,49.52,50.05,2197287
2018-02-14,49.78,51.73,49.7,51.53,1985897
2018-02-15,51.97,52.16,50.87,51.73,2860341
2018-02-16,51.49,52.19,50.84,51.81,1911650
2018-02-20,51.7,52.46,51.1411,52.01,2177640
2018-02-21,52.3,52.67,51.73,51.76,2093732
2018-02-22,51.92,52.5,50.64,50.74,2610149
2018-02-23,51.09,51.39,50.44,51.38,2976738
2018-02-26,51.58,51.97,50.955,51.96,3481366
2018-02-27,52.32,54.7226,52.12,53.11,5663012
2018-02-28,53.4,54.0,52.21,52.23,3485008
2018-03-01,52.24,52.88,50.75,51.19,3014118
2018-03-02,50.91,51.64,50.36,51.52,1984921
2018-03-05,51.04,53.115,50.771,52.62,2161057
2018-03-06,53.32,54.78,52.89,54.4,3379913
2018-03-07,53.68,55.15,53.54,54.91,2644578
2018-03-08,55.21,55.42,54.31,55.17,2572254
2018-03-09,55.55,57.27,55.49,57.24,2831103
2018-03-12,58.15,58.45,57.45,57.88,3079036
2018-03-13,58.06,58.26,56.81,56.99,2006306
2018-03-14,56.23,57.73,55.68,57.16,4921844
2018-03-15,57.46,57.46,56.235,56.74,3185156
2018-03-16,56.84,57.75,56.55,57.29,2828379
2018-03-19,57.2,57.64,55.62,56.49,1740849
2018-03-20,56.98,57.43,56.74,57.16,1877660
2018-03-21,57.16,58.489,57.06,57.61,2060254
2018-03-22,56.66,56.98,54.7,54.97,3230068
2018-03-23,55.07,55.37,52.99,53.09,2775291
2018-03-26,54.34,55.71,53.74,55.56,2531309
2018-03-27,55.8,56.225,53.56,54.07,2336428
2018-03-28,53.97,54.2565,52.5,53.6,2691382
2018-03-29,54.04,55.68,53.51,55.41,3882456
2018-04-02,55.12,55.3,53.48,54.33,4909798
2018-04-03,54.64,55.22,54.14,55.17,3234279
2018-04-04,54.06,56.07,53.98,55.87,2638143
2018-04-05,56.49,57.55,56.03,56.84,2426577
2018-04-06,56.05,56.55,54.49,55.24,1993051
2018-04-09,55.78,57.16,55.4,55.54,1960104
2018-04-10,56.86,57.75,56.64,57.26,4202188
2018-04-11,56.67,57.9,56.33,57.12,1676318
2018-04-12,57.58,58.39,57.325,57.74,2876603
2018-04-13,58.248,58.38,56.6,56.96,2492681
2018-04-16,57.32,58.03,57.17,57.59,3217626
2018-04-17,58.2,59.0,57.89,58.44,2856659
2018-04-18,59.2144,59.23,57.2,58.06,3908810
2018-04-19,58.08,58.89,57.97,58.83,4554305
2018-04-20,58.3,61.8,57.65,60.48,6156218
2018-04-23,60.73,61.1,59.66,60.33,3040542
2018-04-24,60.31,60.74,58.55,59.5,2977961
2018-04-25,59.5,59.84,58.509,59.56,2440207
2018-04-26,59.66,60.98,59.16,60.57,2076812
2018-04-27,60.54,61.39,60.13,61.27,3666072
2018-04-30,61.36,61.92,60.68,60.68,2698266
2018-05-01,60.65,61.08,60.23,61.04,1693853
2018-05-02,61.07,61.93,60.69,60.87,2791211
2018-05-03,60.62,60.75,59.2978,60.45,2193865
2018-05-04,60.17,61.83,59.71,61.47,2008164
2018-05-07,61.67,62.2909,61.3,62.15,2076722
2018-05-08,62.13,63.56,62.01,62.94,2135227
2018-05-09,63.21,64.28,62.8,64.0,1879605
2018-05-10,64.01,64.42,63.51,64.1,1529076
2018-05-11,64.31,65.14,64.2,64.39,1951368
2018-05-14,64.5,64.665,63.46,63.87,2088069
2018-05-15,63.78,64.46,63.59,64.2,1555796
2018-05-16,64.04,64.79,63.85,64.39,1227670
2018-05-17,64.25,65.36,64.1452,64.85,2184032
